id;line_no;trace_id;status;result_code;result_msg;buyer_id;buyer_name;currency;amount_excl;tax_amount;amount_incl;tax_type;invoice_date;invoice_no;assigned_prefix;raw_payload;raw_hash;profile_detected;job_id;created_by;created_date;last_modified_by;last_modified_date
1;1;JOB2025110215170100-0001;QUEUED;0402;金額不平衡;A123456789;王小明;TWD;3412.68;170.63;3583.31;TAXABLE;2025-11-04;;;"{""line"": 1, ""desc"": ""seed"", ""sellerId"": ""77665544""}";da772711a2d94c9fc7a55dc652cd9e8bbe1e7fcbde0aa312c772489b0977abcc;Profile-Canonical;1;portal;2025-10-31T12:17:01.008Z;system;2025-11-04T16:17:01.008Z
2;2;JOB2025110215170100-0002;QUEUED;FMT01;格式錯誤;A123456789;王小明;TWD;207.92;0.0;207.92;EXEMPT;2025-10-30;;;"{""line"": 2, ""desc"": ""seed"", ""sellerId"": ""77665544""}";a428b894de752e3074b200701f11986dcc0d894e9cdf8bde8c55b5f0edea4bf0;Profile-Legacy;1;portal;2025-11-03T11:17:01.008Z;system;2025-11-05T16:17:01.008Z
3;3;JOB2025110215170100-0003;OK;;;;王小明;TWD;1721.65;86.08;1807.73;TAXABLE;2025-11-06;AE00000483;AE;"{""line"": 3, ""desc"": ""seed"", ""sellerId"": ""77665544""}";4ba1a19a846e07472eed1161ec1069d591d5ed12cdfbf110ae40ceab0cd3a4dc;Profile-Canonical;1;portal;2025-11-05T12:17:01.008Z;system;2025-11-05T01:17:01.008Z
4;4;JOB2025110215170100-0004;OK;;;8J00000000;木木雜貨店;TWD;4197.04;0.0;4197.04;EXEMPT;2025-10-30;AB00004301;AB;"{""line"": 4, ""desc"": ""seed"", ""sellerId"": ""77665544""}";1f6cf34d213fe604a5877218cd7e343d535aab41117aeea50da4e7d85414bcc6;Profile-Canonical;1;portal;2025-10-29T03:17:01.008Z;system;2025-11-02T23:17:01.008Z
5;5;JOB2025110215170100-0005;OK;;;;;TWD;2062.86;103.14;2166.0;TAXABLE;2025-10-31;AE00003235;AE;"{""line"": 5, ""desc"": ""seed"", ""sellerId"": ""77665544""}";5ea97aeba916a18bd50313f3197f916e8f770db955d6f188ed82298561f882ad;Profile-Canonical;1;portal;2025-11-06T06:17:01.008Z;system;2025-11-03T18:17:01.008Z
6;6;JOB2025110215170100-0006;OK;;;12233445;王小明;TWD;785.59;0.0;785.59;ZERO;2025-11-03;;;"{""line"": 6, ""desc"": ""seed"", ""sellerId"": ""77665544""}";ca2249873329c490e11bf0e7a23bd5ec9ec71af2f5587f8798a04079a8c3cab7;Profile-Legacy;1;portal;2025-10-28T03:17:01.008Z;system;2025-11-03T10:17:01.008Z
7;7;JOB2025110215170100-0007;QUEUED;0402;欄位缺漏;;;TWD;1795.0;0.0;1795.0;EXEMPT;2025-10-30;AB00003997;AB;"{""line"": 7, ""desc"": ""seed"", ""sellerId"": ""77665544""}";b5b2e1faf30c10dca79fc8d27cdc21c0306746de342d4fd72fa5d3ba03267b41;Profile-Legacy;1;portal;2025-11-05T04:17:01.008Z;system;2025-11-04T22:17:01.008Z
8;8;JOB2025110215170100-0008;QUEUED;FMT01;欄位缺漏;A123456789;小確幸商行;TWD;4216.19;0.0;4216.19;ZERO;2025-10-31;;;"{""line"": 8, ""desc"": ""seed"", ""sellerId"": ""77665544""}";36a7c002e72c29000522b5a765220d2ad900f90f2b95f339a21d7ad3b9efc2c1;Profile-Canonical;1;portal;2025-10-30T21:17:01.008Z;system;2025-11-05T12:17:01.008Z
9;9;JOB2025110215170100-0009;QUEUED;DUP_NO;金額不平衡;12233445;王小明;TWD;618.81;0.0;618.81;ZERO;2025-11-05;AE00002516;AE;"{""line"": 9, ""desc"": ""seed"", ""sellerId"": ""77665544""}";5a557a726c3dc6b78efadff75c6153e324cc0432056c37c16cdaea267c97d884;Profile-Canonical;1;portal;2025-10-27T07:17:01.008Z;system;2025-11-02T02:17:01.008Z
10;1;JOB2025102311170101-0001;ERROR;0510;欄位缺漏;;王小明;TWD;1113.23;0.0;1113.23;ZERO;2025-11-03;;;"{""line"": 1, ""desc"": ""seed"", ""sellerId"": ""22334455""}";993bdb315369ceff02df8e4fb74f9d5a53a2202b22d0e8df22703f4fd28dfbc5;Profile-Canonical;2;portal;2025-11-01T22:17:01.008Z;system;2025-11-05T22:17:01.008Z
