id;name;target_url;secret;events;status;tenant_id
1;"TenantA-Webhook";"https://tenant-a.example.com/webhook";"secretA";"upload.completed,invoice.status.updated";"ACTIVE";1
2;"TenantB-Webhook";"https://tenant-b.example.com/webhook";"secretB";"invoice.status.updated,turnkey.feedback.daily-summary";"ACTIVE";2
3;"TenantA-DLQ";"https://tenant-a.example.com/dlq";"secretC";"invoice.status.updated";"ACTIVE";1
4;"TenantB-DLQ";"https://tenant-b.example.com/dlq";"secretD";"invoice.status.updated";"ACTIVE";2
5;"TenantC-Webhook";"https://tenant-c.example.com/webhook";"secretE";"invoice.status.updated,upload.completed";"ACTIVE";1
6;"TenantD-Webhook";"https://tenant-d.example.com/webhook";"secretF";"invoice.status.updated";"ACTIVE";2
7;"TenantE-Webhook";"https://tenant-e.example.com/webhook";"secretG";"invoice.status.updated";"ACTIVE";1
8;"TenantF-Webhook";"https://tenant-f.example.com/webhook";"secretH";"invoice.status.updated";"ACTIVE";2
9;"TenantG-Webhook";"https://tenant-g.example.com/webhook";"secretI";"invoice.status.updated";"ACTIVE";1
10;"TenantH-Webhook";"https://tenant-h.example.com/webhook";"secretJ";"invoice.status.updated";"ACTIVE";2
11;"TenantI-Webhook";"https://tenant-i.example.com/webhook";"secretK";"invoice.status.updated";"ACTIVE";1
12;"TenantJ-Webhook";"https://tenant-j.example.com/webhook";"secretL";"invoice.status.updated";"ACTIVE";2
13;"TenantK-Webhook";"https://tenant-k.example.com/webhook";"secretM";"invoice.status.updated";"ACTIVE";1
14;"TenantL-Webhook";"https://tenant-l.example.com/webhook";"secretN";"invoice.status.updated";"ACTIVE";2
15;"TenantM-Webhook";"https://tenant-m.example.com/webhook";"secretO";"invoice.status.updated";"ACTIVE";1
16;"TenantN-Webhook";"https://tenant-n.example.com/webhook";"secretP";"invoice.status.updated";"ACTIVE";2
17;"TenantO-Webhook";"https://tenant-o.example.com/webhook";"secretQ";"invoice.status.updated";"ACTIVE";1
18;"TenantP-Webhook";"https://tenant-p.example.com/webhook";"secretR";"invoice.status.updated";"ACTIVE";2
19;"TenantQ-Webhook";"https://tenant-q.example.com/webhook";"secretS";"invoice.status.updated";"ACTIVE";1
20;"TenantR-Webhook";"https://tenant-r.example.com/webhook";"secretT";"invoice.status.updated";"ACTIVE";2
21;"TenantS-Webhook";"https://tenant-s.example.com/webhook";"secretU";"invoice.status.updated";"DISABLED";1
22;"TenantT-Webhook";"https://tenant-t.example.com/webhook";"secretV";"upload.completed";"ACTIVE";2
23;"TenantU-Webhook";"https://tenant-u.example.com/webhook";"secretW";"invoice.status.updated";"ACTIVE";1
24;"TenantV-Webhook";"https://tenant-v.example.com/webhook";"secretX";"invoice.status.updated,turnkey.feedback.daily-summary";"ACTIVE";2
